#name,id,top,right,bot,left
img/t01.rgb2,0,0,0,0,0
img/t02.rgb2,1,1,1,1,1
img/t03.rgb2,2,2,2,2,2
img/t04.rgb2,3,3,3,3,3
#splittiles
#green=0/blue=1
img/t05.rgb2,4,0,1,1,0
img/t06.rgb2,5,0,0,1,1
img/t07.rgb2,6,1,0,0,1
img/t08.rgb2,7,1,1,0,0
#green=0/brown=2
img/t09.rgb2,8,0,2,2,0
img/t10.rgb2,9,0,0,2,2
img/t11.rgb2,10,2,0,0,2
img/t12.rgb2,11,2,2,0,0
#white=3/green=0
img/t13.rgb2,12,3,3,0,0
img/t14.rgb2,13,0,3,3,0
img/t15.rgb2,14,0,0,3,3
img/t16.rgb2,15,3,0,0,3
#white=3/brown=2
img/t17.rgb2,16,3,3,2,2
img/t18.rgb2,17,2,3,3,2
img/t19.rgb2,18,2,2,3,3
img/t20.rgb2,19,3,2,2,3
#brown=2/blue=1
img/t21.rgb2,20,2,1,1,2
img/t22.rgb2,21,2,2,1,1
img/t23.rgb2,22,1,2,2,1
img/t24.rgb2,23,1,1,2,2
